,RANK,NOC,GOLD,SILVER,BRONZE,TOTAL
29,28, Liechtenstein (LIE),0,0,1,1
27,28, Kazakhstan (KAZ),0,0,1,1
24,25, Belgium (BEL),0,1,0,1
21,21, Ukraine (UKR),1,0,0,1
20,21, Hungary (HUN),1,0,0,1
28,28, Latvia (LAT),0,0,1,1
26,26, NewZealand (NZL),0,0,2,2
25,26, Spain (ESP),0,0,2,2
23,24, Slovenia (SLO),0,1,1,2
19,20, Poland (POL),1,0,1,2
22,23, Australia (AUS),0,2,1,3
16,17, Slovakia (SVK),1,2,0,3
14,15, Belarus (BLR),2,1,0,3
18,19, GreatBritain (GBR),1,0,4,5
17,18, Finland (FIN),1,1,4,6
13,14, CzechRepublic (CZE),2,2,3,7
15,16, China (CHN),1,6,2,9
11,12, Italy (ITA),3,2,5,10
10,11, Japan (JPN),4,5,4,13
9,10, Austria (AUT),5,3,6,14
5,6, Sweden (SWE),7,6,1,14
7,8, Switzerland (SUI),5,6,4,15
8,9, France (FRA),5,4,6,15
6,7, SouthKorea (KOR)*,5,8,4,17
12,13, OlympicAthletesfromRussia (OAR),2,6,9,17
4,5, Netherlands (NED),8,6,6,20
3,4, UnitedStates (USA),9,8,6,23
2,3, Canada (CAN),11,8,10,29
1,2, Germany (GER),14,10,7,31
0,1, Norway (NOR),14,14,11,39
